,_arpt_ident,_name,_state_prov,_icao,_faa_host_id,_loc_hdatum,_wgs_datum,_wgs_lat,_wgs_dlat,_wgs_long,_wgs_dlong,_elev,_type,_mag_var,_wac,_beacon,_second_arpt,_opr_agy,_sec_name,_sec_icao,_sec_faa,_sec_opr_agy,_cycle_date,__id
,US75531,REYNOLDS AIRPARK,12,KZ,FL60,WGE,WGE,N29582087,29.972464,W081393932,-81.660922,00021,D,W005488 1210,0466,,,PV,,,,,201011,8821
,US75943,KEE FLD,54,KZ,KI16,WGE,WGE,N37360160,37.600444,W081333340,-81.559278,01783,D,W007221 1210,0358,Y,,PA,,,,,201009,8845
,US76010,CONCHAS LAKE,35,KZ,KE89,WGE,WGE,N35215170,35.364361,W104105408,-104.181689,04230,D,E008111 1210,0406,Y,,PA,,,,,201007,10595
,US76209,MT STERLING MONTGOMERY CO,21,KZ,KIOB,WGE,WGE,N38032930,38.058139,W083584650,-83.979583,01019,A,W005401 1210,0358,Y,,PA,,,,,201013,8857
,US06274,RAK,05,KZ,20AR,WGE,WGE,N35182829,35.307858,W092191255,-92.320153,00625,D,E001412 0105,0408,,,PV,,,,,200409,6026
,US77275,PLATTSBURGH INTL,36,KZ,KPBG,WGE,WGE,N44390340,44.650944,W073280530,-73.468139,00234,D,W014404 1210,0263,Y,,PA,,,,,201013,8894
,US77290,PHILLIPS AAF,24,KAPG,APG,WGE,WGE,N39275839,39.466219,W076100771,-76.168808,00057,C,W011289 1210,0357,Y,,AA,,,,,201012,8896
,US78252,MILLINGTON RGNL JETPORT,47,KNQA,NQA,WGE,WGE,N35212400,35.356667,W089521300,-89.870278,00320,A,W000480 1210,0408,Y,,PA,,,,,201103,8934
,US06352,ATLANTIC CITY MUNI BADER FLD,34,KZ,KAIY,WGE,WGE,N39213610,39.360028,W074272190,-74.456083,00008,D,W012308 0105,0357,Y,,PA,,,,,200413,6033
,US05968,RALEIGH EXEC JETPORT AT SANFORD LEE CO,37,KZ,KTTA,WGE,WGE,N3534568/,35.582444,W07906048/,-79.101333,00246,D,W008384 1210,0410,,,PA,,,,,201013,5992
,US06335,AEROFLEX ANDOVER,34,KZ,K12N,WGE,WGE,N41003103,41.008619,W074441692,-74.738033,00583,A,W012463 1210,0310,Y,,PA,,,,,201003,6030
,US06342,GREENWOOD LAKE,34,KZ,K4N1,WGE,WGE,N41074220,41.128389,W074204750,-74.346528,00790,A,W013019 1210,0310,Y,,MU,,,,,201013,6031
,US06345,SKY MANOR,34,KZ,KN40,WGE,WGE,N40335718,40.565883,W074584551,-74.979308,00560,A,W012302 1210,0310,,,PA,,,,,201005,6032
,US06359,PHILADELPHIA MUNI,28,KZ,KMPE,WGE,WGE,N32475716,32.799211,W089073359,-89.125997,00458,D,W001026 1210,0408,Y,,PA,,,,,200911,6034
,US06377,RED LION,34,KZ,KN73,WGE,WGE,N39541495,39.904153,W074445838,-74.749550,00054,A,W012270 1210,0357,Y,,PA,,,,,201011,6035
,US06396,EAGLES NEST,34,KZ,K31E,WGE,WGE,N39395430,39.665083,W074182720,-74.307556,00037,D,W012382 1210,0357,,,PV,,,,,201103,6036
,US78448,CHILLICOTHE MUNI,29,KZ,KCHT,WGE,WGE,N39465500,39.781944,W093294660,-93.496278,00783,A,E001285 1210,0360,Y,,PA,,,,,201103,8943
,US06613,ARCADE TRI CO,36,KZ,KD23,WGE,WGE,N42340022,42.566728,W078253407,-78.426131,01745,D,W010513 0105,0309,,,PV,,,,,200405,6053
,US06698,F AND F AIRPARK INC,36,KZ,NY25,WGE,WGE,N42270029,42.450081,W075005858,-75.016272,01110,D,W013117 0105,0310,,,PV,,,,,200109,6059
,US06781,MONTICELLO,36,KZ,KN37,WGE,WGE,N41372090,41.622472,W074420480,-74.701333,01545,D,W013061 0105,0310,,,XX,,,,,200501,6064
,US06911,GEORGIA PACIFIC,13,KZ,0GE2,WGE,WGE,N31082600,31.140556,W085024801,-85.046669,00133,D,W003035 0105,0467,,,PV,,,,,200106,6075
,US06413,QUESTA MUNI 2,35,KZ,KN24,WGE,WGE,N36480110,36.800306,W105355100,-105.597500,07700,D,E008595 1210,0361,Y,,PA,,,,,201013,6038
,US06424,WICHITA VALLEY,48,KZ,KF14,WGE,WGE,N33565180,33.947722,W098370010,-98.616694,01005,D,E005078 1210,0407,,,PV,,,,,201010,6039
,US06449,MINERAL CO,30,KZ,K9S4,WGE,WGE,N47100573,47.168258,W114511347,-114.853742,02787,D,E014369 1210,0268,,,PA,,,,,200810,6041
,US06492,CENTRAL WISCONSIN,55,KZ,KCWA,WGE,WGE,N44463944,44.777622,W089400040,-89.666778,01277,A,W002217 1210,0265,Y,,PA,,,,,201013,6042
,US06500,CISCO MUNI,48,KZ,K3F2,WGE,WGE,N32245410,32.415028,W098594860,-98.996833,01621,D,E005197 1210,0407,Y,,PA,,,,,201101,6043
,US06507,WEST WOODWARD,40,KZ,KWWR,WGE,WGE,N36261680,36.438000,W099312160,-99.522667,02189,A,E005423 1210,0360,Y,,PA,,,,,201103,6044
,US06508,HOLLISTER MUNI,06,KZ,KCVH,WGE,WGE,N36533604,36.893345,W121243697,-121.410270,00230,A,E013513 1210,0364,Y,,PA,,,,,200913,6045
,US06526,BRIDGEPORT MUNI,48,KZ,KXBP,WGE,WGE,N33103120,33.175333,W097494220,-97.828389,00852,A,E004397 1210,0407,Y,,PA,,,,,201010,6046
,US06532,SYCAMORE STRIP,48,KZ,K9F9,WGE,WGE,N32374248,32.628468,W097211306,-97.353628,00760,D,E004230 1210,0407,,,PA,,,,,201008,6047
